Course,Mark and Side x 10,,,Card,CC1,Sat_CV,,,,,Mark x 10,,,,,,,,,,Side x 10,,,,,,,,,last
A1,Ep,Cp,Np,Fp,Ws,Mp,As,,,,E,C,N,F,W,M,A,,,,p,p,p,p,s,p,s,,,
A2,Ep,Cp,Pp,Gp,Ks,Mp,As,,,,E,C,P,G,K,M,A,,,,p,p,p,p,s,p,s,,,
A3,Ep,Cp,Np,Gp,Ks,Mp,As,,,,E,C,N,G,K,M,A,,,,p,p,p,p,s,p,s,,,
A4,Ep,Cp,Np,Jp,Ks,Mp,As,,,,E,C,N,J,K,M,A,,,,p,p,p,p,s,p,s,,,
A5,Ep,Cp,Vp,Mp,As,,,,,,E,C,V,M,A,,,,,,p,p,p,p,s,,,,,
A6,Mp,Cp,Vp,Mp,As,,,,,,M,C,V,M,A,,,,,,p,p,p,p,s,,,,,
A7,Mp,Cp,Hp,Mp,As,,,,,,M,C,H,M,A,,,,,,p,p,p,p,s,,,,,
A8,Mp,Hp,Mp,As,,,,,,,M,H,M,A,,,,,,,p,p,p,s,,,,,,
B1,Fp,Bs,Es,Gs,Ws,Jp,Bs,Fp,As,,F,B,E,G,W,J,B,F,A,,p,s,s,s,s,p,s,p,s,
B2,Fp,Ls,Ds,Gs,Ws,Jp,As,,,,F,L,D,G,W,J,A,,,,p,s,s,s,s,p,s,,,
B3,Fp,Bs,Es,Vp,Jp,As,,,,,F,B,E,V,J,A,,,,,p,s,s,p,p,s,,,,
B4,Fp,Bs,Ms,Vp,Jp,As,,,,,F,B,M,V,J,A,,,,,p,s,s,p,p,s,,,,
B5,Fp,Ls,Ds,Ks,As,,,,,,F,L,D,K,A,,,,,,p,s,s,s,s,,,,,
B6,Fp,Bs,Ms,Ks,As,,,,,,F,B,M,K,A,,,,,,p,s,s,s,s,,,,,
B7,Fp,Bs,Ms,As,,,,,,,F,B,M,A,,,,,,,p,s,s,s,,,,,,
B8,Fp,As,,,,,,,,,F,A,,,,,,,,,p,s,,,,,,,,
C1,Fp,Ls,Es,Wp,Np,Hs,Gp,As,,,F,L,E,W,N,H,G,A,,,p,s,s,p,p,s,p,s,,
C2,Fp,Ls,Ds,Wp,Np,Hs,Jp,As,,,F,L,D,W,N,H,J,A,,,p,s,s,p,p,s,p,s,,
