Course,Mark and Side x 10,,,Card,CC2,Sat_Hut,,,,,Mark x 10,,,,,,,,,,Side x 10,,,,,,,,,last
A1,Ep,Cp,Np,Fp,Cp,Vp,Mp,Xp,,,E,C,N,F,C,V,M,X,,,p,p,p,p,p,p,p,p,,
A2,Ep,Cp,Pp,Gp,Ks,Mp,Xp,,,,E,C,P,G,K,M,X,,,,p,p,p,p,s,p,p,,,
A3,Bs,Qp,Gp,Ks,Mp,Xp,,,,,B,Q,G,K,M,X,,,,,s,p,p,s,p,p,,,,
A4,Bs,Pp,Gp,Ks,Mp,Xp,,,,,B,P,G,K,M,X,,,,,s,p,p,s,p,p,,,,
A5,Bs,Sp,Jp,Ks,Mp,Xp,,,,,B,S,J,K,M,X,,,,,s,p,p,s,p,p,,,,
A6,Bs,Np,Jp,Ks,Mp,Xp,,,,,B,N,J,K,M,X,,,,,s,p,p,s,p,p,,,,
A7,Bs,Vp,Mp,Xp,,,,,,,B,V,M,X,,,,,,,s,p,p,p,,,,,,
A8,Bs,Hp,Mp,Xp,,,,,,,B,H,M,X,,,,,,,s,p,p,p,,,,,,
B1,Fp,Bs,Es,Gs,Ws,Jp,Bs,Ms,Xp,,F,B,E,G,W,J,B,M,X,,p,s,s,s,s,p,s,s,p,
B2,Fp,Bs,Es,Gs,Ws,Jp,Xp,,,,F,B,E,G,W,J,X,,,,p,s,s,s,s,p,p,,,
B3,Ms,Vp,Jp,Ls,Ds,Xp,,,,,M,V,J,L,D,X,,,,,s,p,p,s,s,p,,,,
B4,Ms,Tp,Np,Bs,Ms,Xp,,,,,M,T,N,B,M,X,,,,,s,p,p,s,s,p,,,,
B5,Ms,Vp,Jp,Bs,Ms,Xp,,,,,M,V,J,B,M,X,,,,,s,p,p,s,s,p,,,,
B6,Ms,Hp,Jp,Bs,Ms,Xp,,,,,M,H,J,B,M,X,,,,,s,p,p,s,s,p,,,,
B7,Ms,Vp,Jp,Xp,,,,,,,M,V,J,X,,,,,,,s,p,p,p,,,,,,
B8,Ms,Gs,Xp,,,,,,,,M,G,X,,,,,,,,s,s,p,,,,,,,
C1,Fp,Ls,Es,Wp,Np,Hs,Gp,Xp,,,F,L,E,W,N,H,G,X,,,p,s,s,p,p,s,p,p,,
C2,Fp,Ls,Ds,Wp,Np,Bs,Ms,Xp,,,F,L,D,W,N,B,M,X,,,p,s,s,p,p,s,s,p,,
C3,Ks,Tp,Sp,Ls,Es,Xp,,,,,K,T,S,L,E,X,,,,,s,p,p,s,s,p,,,,
C4,Ks,Wp,Np,Ls,Ds,Xp,,,,,K,W,N,L,D,X,,,,,s,p,p,s,s,p,,,,
C5,Jp,Ls,Es,Xp,,,,,,,J,L,E,X,,,,,,,p,s,s,p,,,,,,
C6,Ks,Wp,Np,Bs,Ms,Xp,,,,,K,W,N,B,M,X,,,,,s,p,p,s,s,p,,,,
C7,Jp,Bs,Ms,Xp,,,,,,,J,B,M,X,,,,,,,p,s,s,p,,,,,,
C8,Jp,Xp,,,,,,,,,J,X,,,,,,,,,p,p,,,,,,,,
D1,Jp,Dp,Cp,Fp,Dp,Bp,Gp,Lp,Js,Xp,J,D,C,F,D,B,G,L,J,X,p,p,p,p,p,p,p,p,s,p
D2,Jp,Dp,Cp,Fp,Cp,Ms,Lp,Js,Xp,,J,D,C,F,C,M,L,J,X,,p,p,p,p,p,s,p,s,p,
D3,Ks,Tp,Pp,Ws,Sp,Ws,Sp,Vs,Np,Xp,K,T,P,W,S,W,S,V,N,X,s,p,p,s,p,s,p,s,p,p
D4,Ks,Tp,Pp,Ws,Sp,Vs,Np,Xp,,,K,T,P,W,S,V,N,X,,,s,p,p,s,p,s,p,p,,
D5,Ks,Tp,Pp,Ws,Sp,Vs,Np,Xp,,,K,T,P,W,S,V,N,X,,,s,p,p,s,p,s,p,p,,
D6,Ks,Tp,Pp,Vs,Np,Xp,,,,,K,T,P,V,N,X,,,,,s,p,p,s,p,p,,,,
D7,Ks,Yp,Sp,Vs,Np,Xp,,,,,K,Y,S,V,N,X,,,,,s,p,p,s,p,p,,,,
D8,Ks,Yp,Sp,Xp,,,,,,,K,Y,S,X,,,,,,,s,p,p,p,,,,,,
E1,Sp,Cs,Gs,Lp,Jp,Bp,Jp,Mp,Xp,,S,C,G,L,J,B,J,M,X,,p,s,s,p,p,p,p,p,p,
E2,Sp,Cs,Gs,Lp,Jp,Mp,Xp,,,,S,C,G,L,J,M,X,,,,p,s,s,p,p,p,p,,,
E3,Ns,Wp,Pp,Wp,Pp,Kp,Ap,Xp,,,N,W,P,W,P,K,A,X,,,s,p,p,p,p,p,p,p,,
E4,Ns,Wp,Pp,Wp,Pp,Hp,Xp,,,,N,W,P,W,P,H,X,,,,s,p,p,p,p,p,p,,,
E5,Ns,Wp,Pp,Wp,Pp,Xp,,,,,N,W,P,W,P,X,,,,,s,p,p,p,p,p,,,,
E6,Ns,Wp,Pp,Wp,Yp,Xp,,,,,N,W,P,W,Y,X,,,,,s,p,p,p,p,p,,,,
E7,Ns,Wp,Pp,Xp,,,,,,,N,W,P,X,,,,,,,s,p,p,p,,,,,,
E8,Ns,Vp,Sp,Xp,,,,,,,N,V,S,X,,,,,,,s,p,p,p,,,,,,
F1,Np,Ds,Gs,Cp,Js,Lp,Hp,Lp,Xp,,N,D,G,C,J,L,H,L,X,,p,s,s,p,s,p,p,p,p,
F2,Np,Ds,Gs,Cp,Js,Lp,Xp,,,,N,D,G,C,J,L,X,,,,p,s,s,p,s,p,p,,,
F3,Ps,Wp,Qp,Vs,Ps,Ys,Kp,Xp,,,P,W,Q,V,P,Y,K,X,,,s,p,p,s,s,s,p,p,,
F4,Ps,Wp,Qp,Kp,Lp,Xp,,,,,P,W,Q,K,L,X,,,,,s,p,p,p,p,p,,,,
F5,Ps,Vs,Ps,Ys,Lp,Xp,,,,,P,V,P,Y,L,X,,,,,s,s,s,s,p,p,,,,
F6,Ps,Vs,Sp,Xp,,,,,,,P,V,S,X,,,,,,,s,s,p,p,,,,,,
F7,Ps,Ys,Kp,Xp,,,,,,,P,Y,K,X,,,,,,,s,s,p,p,,,,,,
F8,Ps,Xp,,,,,,,,,P,X,,,,,,,,,s,p,,,,,,,,
G1,Yp,Gp,Dp,Js,Bp,Qs,Lp,Xp,,,Y,G,D,J,B,Q,L,X,,,p,p,p,s,p,s,p,p,,
G2,Yp,Gp,Dp,Js,Bp,Vs,Lp,Xp,,,Y,G,D,J,B,V,L,X,,,p,p,p,s,p,s,p,p,,
G3,Rp,Sp,Bp,Qs,Hp,Xp,,,,,R,S,B,Q,H,X,,,,,p,p,p,s,p,p,,,,
G4,Rp,Sp,Bp,Ns,Hp,Ap,Xp,,,,R,S,B,N,H,A,X,,,,p,p,p,s,p,p,p,,,
G5,Qs,Wp,Rp,Hp,Ap,Xp,,,,,Q,W,R,H,A,X,,,,,s,p,p,p,p,p,,,,
G6,Qs,Wp,Rp,Hp,Xp,,,,,,Q,W,R,H,X,,,,,,s,p,p,p,p,,,,,
G7,Rp,Sp,Hp,Xp,,,,,,,R,S,H,X,,,,,,,p,p,p,p,,,,,,
G8,Tp,Yp,Xp,,,,,,,,T,Y,X,,,,,,,,p,p,p,,,,,,,
H1,Rp,Pp,Ep,Ns,Dp,Ks,Cp,Xp,,,R,P,E,N,D,K,C,X,,,p,p,p,s,p,s,p,p,,
H2,Rp,Pp,Ep,Js,Cp,Ks,Lp,Xp,,,R,P,E,J,C,K,L,X,,,p,p,p,s,p,s,p,p,,
H3,Tp,Vs,Rp,Vs,Rp,Sp,Lp,Xp,,,T,V,R,V,R,S,L,X,,,p,s,p,s,p,p,p,p,,
H4,Tp,Vs,Rp,Vs,Yp,Hp,Lp,Xp,,,T,V,R,V,Y,H,L,X,,,p,s,p,s,p,p,p,p,,
H5,Tp,Vs,Rp,Sp,Lp,Xp,,,,,T,V,R,S,L,X,,,,,p,s,p,p,p,p,,,,
H6,Tp,Vs,Yp,Hp,Lp,Xp,,,,,T,V,Y,H,L,X,,,,,p,s,p,p,p,p,,,,
H7,Tp,Vs,Yp,Sp,Xp,,,,,,T,V,Y,S,X,,,,,,p,s,p,p,p,,,,,
H8,Tp,Hp,Xp,,,,,,,,T,H,X,,,,,,,,p,p,p,,,,,,,
J1,Ms,Tp,Sp,Fp,Ns,Dp,Xp,,,,M,T,S,F,N,D,X,,,,s,p,p,p,s,p,p,,,
J2,Ms,Yp,Sp,Fp,Ns,Cp,Xp,,,,M,Y,S,F,N,C,X,,,,s,p,p,p,s,p,p,,,
J3,Ms,Yp,Sp,Fp,Js,Cp,Xp,,,,M,Y,S,F,J,C,X,,,,s,p,p,p,s,p,p,,,
J4,Ms,Vs,Dp,Bs,Cp,Xp,,,,,M,V,D,B,C,X,,,,,s,s,p,s,p,p,,,,
J5,Ms,Vs,Dp,Xp,,,,,,,M,V,D,X,,,,,,,s,s,p,p,,,,,,
J6,Ms,Ks,Dp,Xp,,,,,,,M,K,D,X,,,,,,,s,s,p,p,,,,,,
J7,Ms,Ks,Cp,Xp,,,,,,,M,K,C,X,,,,,,,s,s,p,p,,,,,,
J8,Ms,Hs,Xp,,,,,,,,M,H,X,,,,,,,,s,s,p,,,,,,,
K1,Fs,Gs,Vs,Cs,Es,Bp,Gs,Vs,Hp,Xp,F,G,V,C,E,B,G,V,H,X,s,s,s,s,s,p,s,s,p,p
K2,Gs,Vs,Cs,Es,Bp,Fs,Xp,,,,G,V,C,E,B,F,X,,,,s,s,s,s,p,s,p,,,
K3,Js,Wp,Ns,Ts,Dp,Ap,Xp,,,,J,W,N,T,D,A,X,,,,s,p,s,s,p,p,p,,,
K4,Js,Wp,Yp,Dp,Ap,Xp,,,,,J,W,Y,D,A,X,,,,,s,p,p,p,p,p,,,,
K5,Js,Wp,Ss,Rs,Hp,Xp,,,,,J,W,S,R,H,X,,,,,s,p,s,s,p,p,,,,
