Course,Mark and Side x 10,,,Card,CC3,Thu_Blue,,,,,Mark x 10,,,,,,,,,,Side x 10,,,,,,,,,last
A1,Ds,Jp,Fp,Bp,Kp,Ep,3s,,,,D,J,F,B,K,E,3,,,,s,p,p,p,p,p,s,,,
A2,Ds,Jp,Fp,Bp,Kp,Mp,3s,,,,D,J,F,B,K,M,3,,,,s,p,p,p,p,p,s,,,
A3,Ds,Hp,Ep,3s,,,,,,,D,H,E,3,,,,,,,s,p,p,s,,,,,,
A4,Ds,Kp,Ep,Op,,,,,,,D,K,E,O,,,,,,,s,p,p,p,,,,,,
A5,Ds,Kp,Mp,Op,,,,,,,D,K,M,O,,,,,,,s,p,p,p,,,,,,
A6,Ds,Bp,Cp,Op,,,,,,,D,B,C,O,,,,,,,s,p,p,p,,,,,,
A7,Ds,Op,,,,,,,,,D,O,,,,,,,,,s,p,,,,,,,,
A8,Cp,Op,,,,,,,,,C,O,,,,,,,,,p,p,,,,,,,,
B1,Ep,Cp,Kp,Fp,Kp,Gp,3s,,,,E,C,K,F,K,G,3,,,,p,p,p,p,p,p,s,,,
B2,Ep,Lp,Ep,Cp,Ms,3s,,,,,E,L,E,C,M,3,,,,,p,p,p,p,s,s,,,,
B3,Ep,Cp,Kp,Gp,3s,,,,,,E,C,K,G,3,,,,,,p,p,p,p,s,,,,,
B4,Ep,Cp,Kp,Gp,Os,,,,,,E,C,K,G,O,,,,,,p,p,p,p,s,,,,,
B5,Ep,Bp,Ms,Os,,,,,,,E,B,M,O,,,,,,,p,p,s,s,,,,,,
B6,Ep,Dp,Ms,Os,,,,,,,E,D,M,O,,,,,,,p,p,s,s,,,,,,
B7,Ep,Os,,,,,,,,,E,O,,,,,,,,,p,s,,,,,,,,
B8,Ms,Os,,,,,,,,,M,O,,,,,,,,,s,s,,,,,,,,
C1,Fp,Cs,Es,Kp,Gp,Bp,3p,,,,F,C,E,K,G,B,3,,,,p,s,s,p,p,p,p,,,
