Course,Mark and Side x 10,,,Card,CC4,Thu_Red,,,,,Mark x 10,,,,,,,,,,Side x 10,,,,,,,,,last
A1,Np,Vp,Tp,Vp,Tp,Rp,Np,Rp,,,N,V,T,V,T,R,N,R,,,p,p,p,p,p,p,p,p,,
A2,Np,Vp,Tp,Vp,Tp,Rp,Yp,Rp,,,N,V,T,V,T,R,Y,R,,,p,p,p,p,p,p,p,p,,
A3,Np,Vp,Tp,Rp,Np,Rp,,,,,N,V,T,R,N,R,,,,,p,p,p,p,p,p,,,,
A4,Np,Rp,Np,Rp,,,,,,,N,R,N,R,,,,,,,p,p,p,p,,,,,,
A5,Np,Rp,Yp,Rp,,,,,,,N,R,Y,R,,,,,,,p,p,p,p,,,,,,
A6,Np,Wp,Rp,Np,Rp,,,,,,N,W,R,N,R,,,,,,p,p,p,p,p,,,,,
A7,Np,Wp,Rp,Yp,Rp,,,,,,N,W,R,Y,R,,,,,,p,p,p,p,p,,,,,
A8,Np,Wp,Rp,,,,,,,,N,W,R,,,,,,,,p,p,p,,,,,,,
B1,Sp,Np,Tp,Np,Tp,Rp,Sp,Rp,,,S,N,T,N,T,R,S,R,,,p,p,p,p,p,p,p,p,,
B2,Sp,Np,Tp,Np,Tp,Rp,Yp,Rp,,,S,N,T,N,T,R,Y,R,,,p,p,p,p,p,p,p,p,,
B3,Sp,Np,Tp,Rp,Sp,Rp,,,,,S,N,T,R,S,R,,,,,p,p,p,p,p,p,,,,
B4,Sp,Np,Tp,Np,Tp,Rp,,,,,S,N,T,N,T,R,,,,,p,p,p,p,p,p,,,,
B5,Sp,Np,Tp,Rp,,,,,,,S,N,T,R,,,,,,,p,p,p,p,,,,,,
B6,Sp,Vp,Rp,Sp,Rp,,,,,,S,V,R,S,R,,,,,,p,p,p,p,p,,,,,
B7,Sp,Vp,Wp,Vp,Wp,Rp,,,,,S,V,W,V,W,R,,,,,p,p,p,p,p,p,,,,
B8,Sp,Wp,Rp,,,,,,,,S,W,R,,,,,,,,p,p,p,,,,,,,
C1,Sp,Np,Wp,Np,Wp,Tp,Sp,Tp,,,S,N,W,N,W,T,S,T,,,p,p,p,p,p,p,p,p,,
C2,Sp,Np,Wp,Np,Wp,Tp,Yp,Tp,,,S,N,W,N,W,T,Y,T,,,p,p,p,p,p,p,p,p,,
C3,Sp,Np,Wp,Tp,Sp,Tp,,,,,S,N,W,T,S,T,,,,,p,p,p,p,p,p,,,,
C4,Sp,Tp,Sp,Tp,,,,,,,S,T,S,T,,,,,,,p,p,p,p,,,,,,
C5,Sp,Tp,Yp,Tp,,,,,,,S,T,Y,T,,,,,,,p,p,p,p,,,,,,
C6,Sp,Vp,Tp,Sp,Tp,,,,,,S,V,T,S,T,,,,,,p,p,p,p,p,,,,,
C7,Sp,Vp,Tp,Yp,Tp,,,,,,S,V,T,Y,T,,,,,,p,p,p,p,p,,,,,
C8,Sp,Vp,Tp,,,,,,,,S,V,T,,,,,,,,p,p,p,,,,,,,
D1,Pp,Sp,Wp,Sp,Wp,Tp,Pp,Tp,,,P,S,W,S,W,T,P,T,,,p,p,p,p,p,p,p,p,,
D2,Pp,Sp,Wp,Sp,Wp,Tp,Yp,Tp,,,P,S,W,S,W,T,Y,T,,,p,p,p,p,p,p,p,p,,
D3,Pp,Sp,Wp,Tp,Pp,Tp,,,,,P,S,W,T,P,T,,,,,p,p,p,p,p,p,,,,
D4,Pp,Tp,Pp,Tp,,,,,,,P,T,P,T,,,,,,,p,p,p,p,,,,,,
D5,Pp,Tp,Yp,Tp,,,,,,,P,T,Y,T,,,,,,,p,p,p,p,,,,,,
D6,Pp,Np,Tp,Pp,Tp,,,,,,P,N,T,P,T,,,,,,p,p,p,p,p,,,,,
D7,Pp,Np,Tp,Yp,Tp,,,,,,P,N,T,Y,T,,,,,,p,p,p,p,p,,,,,
