Course,Mark and Side x 10,,,Card,CC5,Tue_Hut,,,,,Mark x 10,,,,,,,,,,Side x 10,,,,,,,,,last
A1,Cs,Kp,Ep,Lp,Xp,,,,,,C,K,E,L,X,,,,,,s,p,p,p,p,,,,,
A2,Cs,Kp,Mp,Lp,Xp,,,,,,C,K,M,L,X,,,,,,s,p,p,p,p,,,,,
A3,Cs,Kp,Mp,Xp,,,,,,,C,K,M,X,,,,,,,s,p,p,p,,,,,,
A4,Cs,Bs,Ap,Xp,,,,,,,C,B,A,X,,,,,,,s,s,p,p,,,,,,
A5,Cs,Bs,Xp,,,,,,,,C,B,X,,,,,,,,s,s,p,,,,,,,
A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,Mp,As,Ds,Xp,,,,,,,M,A,D,X,,,,,,,p,s,s,p,,,,,,
B2,Mp,As,Cs,Xp,,,,,,,M,A,C,X,,,,,,,p,s,s,p,,,,,,
B3,Mp,Ls,Cs,Xp,,,,,,,M,L,C,X,,,,,,,p,s,s,p,,,,,,
B4,Gp,Bp,Xp,,,,,,,,G,B,X,,,,,,,,p,p,p,,,,,,,
B5,Mp,Xp,,,,,,,,,M,X,,,,,,,,,p,p,,,,,,,,
B6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,Jp,Lp,Ap,Ms,Xp,,,,,,J,L,A,M,X,,,,,,p,p,p,s,p,,,,,
C2,Kp,Lp,Ap,Ms,Xp,,,,,,K,L,A,M,X,,,,,,p,p,p,s,p,,,,,
C3,Kp,Lp,Ap,Bs,Xp,,,,,,K,L,A,B,X,,,,,,p,p,p,s,p,,,,,
C4,Jp,Lp,Xp,,,,,,,,J,L,X,,,,,,,,p,p,p,,,,,,,
C5,Kp,Lp,Xp,,,,,,,,K,L,X,,,,,,,,p,p,p,,,,,,,
C6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
