Letter,Name,Lat deg,Lat min,Long deg,Long min,Lat deg., Long deg.
A,Salthill,53,18.36,-6,9,53.306,-6.15
B,Saoirse,53,19.02,-6,8.15,53.317,-6.13583
C,Seapoint,53,19.48,-6,8.6,53.32467,-6.14333
D,South Bull,53,20,-6,8.3,53.33333,-6.13833
E,South Bar,53,20.22,-6,7.45,53.337,-6.12417
F,Bligh,53,20.08,-6,6.7,53.33467,-6.11167
G,New Ross,53,19.6,-6,6.3,53.32667,-6.105
H,Harbour,53,18.74,-6,7.77,53.31233,-6.1295
J,Asgard,53,19.11,-6,6.56,53.3185,-6.10933
K,Boyd,53,18.85,-6,7.37,53.31417,-6.12283
L,Merrion,53,18.88,-6,9.12,53.31467,-6.152
M,Middle,53,19.55,-6,7.48,53.32583,-6.12467
N,Molly,53,18.28,-6,6.28,53.30467,-6.10467
O,Orange Start,53,18.38,-6,7.92,53.30633,-6.132
P,Poldy,53,17.82,-6,5.4,53.297,-6.09
Q,Island,53,17.45,-6,5.58,53.29083,-6.093
R,Bulloch,53,17.28,-6,6.16,53.288,-6.10267
S,East,53,18.16,-6,5.68,53.30267,-6.09467
T,Battery,53,17.52,-6,6.638,53.292,-6.11063
V,Pier,53,18.1,-6,6.84,53.30167,-6.114
W,Bay,53,17.73,-6,7.1,53.2955,-6.11833
X,Turning,53,18.43,-6,8.34,53.30717,-6.139
Y,Omega,53,17.78,-6,6.23,53.29633,-6.10383
Z,Zebra,53,18.74,-6,6.16,53.31233,-6.10267
2,Black Start,53,18.412,-6,8.066,53.30687,-6.13443
3,Green Start,53,18.416,-6,8.18,53.30693,-6.13633
